Blocks,Seed,TrainingError,TestError
FromLS,325977,874711.2541373265,886523.0216982663
FromLS,549051,894022.080069401,913266.365968738
FromLS,218586,908571.934107164,898585.7131580405
FromLS,894246,934908.5823340057,919560.0076493119
FromLS,353111,908257.5820398346,973450.9121893756
FromLS,394255,903874.1184803438,874452.2425166995
FromLS,953125,924210.1817378332,938412.3842934942
FromLS,795547,891739.2127707265,964988.226412521
FromLS,494250,893990.466326619,897585.0401031435
FromLS,748415,871242.4291358492,900226.6913335266
FromLS,578232,917068.7452056786,890246.6100972663
FromLS,727935,914453.4082972028,907515.1779531771
FromLS,7448,891752.2852255973,976649.9731869965
FromLS,199376,904957.6991007504,907071.1393538625
FromLS,439243,893983.3040920715,940792.6016039128
FromLS,682533,906720.1408817153,903309.6720840578
FromLS,956741,890146.22363756,917307.1927475268
FromLS,647855,906990.3637749602,944221.0897901221
FromLS,996666,854940.6743807932,930874.9568271041
FromLS,749194,911313.3369593667,943426.857543329
FromLS,110084,889806.3666958685,919876.0406889322
FromLS,491383,837449.6273761485,945480.366966166
FromLS,565145,906583.5670460856,934293.0081467293
FromLS,253812,870934.52362845,948240.410180947
FromLS,626794,876473.8348225257,926816.5492583768
FromLS,234104,930146.6715439204,924689.5345822889
FromLS,124792,889986.4218833369,926495.6996477211
FromLS,609875,906098.7785091191,916454.7307418676
FromLS,672793,898478.7354554128,916856.2147786494
FromLS,761916,950093.6448089399,895433.3808689527
FromLS,588872,896207.4179095794,900646.2628151888
FromLS,365854,867257.6017494878,934280.0036715218
FromLS,131025,869576.534027888,891704.3596310345
FromLS,946454,881335.0547898966,906485.5590243255
FromLS,574324,901871.3959955417,924135.7640524019
FromLS,677650,908610.9309852882,929400.071455329
FromLS,571586,911969.9846863588,948122.8610674082
FromLS,72716,902029.4390312613,874051.7566012547
FromLS,701116,914486.9402432407,906305.9742220702
FromLS,95217,904150.3957466434,951165.6116897771
FromLS,845515,879801.836141833,907321.435653638
FromLS,348995,899080.5157962688,927549.2144761572
FromLS,768309,941412.9434109039,928220.9898559406
FromLS,269059,876073.3792559921,919168.3721522358
FromLS,539631,892861.4298239349,936555.9574310433
FromLS,293905,913207.0240203665,895718.4409405253
FromLS,242194,922794.0153703091,901139.3625052627
FromLS,978070,878887.0532780993,947446.6025331615
FromLS,853242,913308.7775790105,917018.8159484612
FromLS,706065,873805.8109402205,934156.2658691003
FromLS,442139,898783.9497324371,904720.5316742691
FromLS,884577,906544.4942618053,925954.0269301062
FromLS,520741,886650.0161225753,952543.3076814961
FromLS,941831,900179.9900458064,899828.3501013737
FromLS,810699,876515.7997785603,909366.4562307575
FromLS,464848,862647.4771412556,895983.4195643228
FromLS,977013,911694.5747556675,858970.9214424556
FromLS,500161,894830.6243741848,910435.282690638
FromLS,715846,939413.0427481679,931449.9894158157
FromLS,189850,897961.451866033,926607.2151299729
FromLS,376441,910982.6904935886,933548.0796981938
FromLS,565864,861422.2178115267,853094.6243763869
FromLS,172235,901814.4755066282,902437.0518800154
FromLS,327351,915164.1095311526,929883.1917151649
FromLS,632108,907359.7518941608,911493.8305176527
FromLS,374141,897835.418793025,921788.3283275572
FromLS,728543,891707.6264203652,927815.4610681906
FromLS,2776,904764.721864753,915334.0654011306
FromLS,134685,897667.9784896832,909788.1951142737
FromLS,531899,877413.5426021522,922660.4154939086
FromLS,73170,909855.2589141731,903730.4305832703
FromLS,501756,898102.2768797759,912185.9914120175
FromLS,906940,891344.8599448347,920590.83452679
FromLS,116769,909079.6852712329,887546.756171177
FromLS,367197,917039.0824107758,885448.2938279032
FromLS,881164,933216.5279761165,917273.9648958314
FromLS,671891,896152.2490608931,913739.4912372567
FromLS,479862,941839.2966594063,915440.6920661279
FromLS,949969,931983.0563890624,906489.7136261893
FromLS,26233,893408.1266229674,921932.6131469839
FromLS,347189,903080.822957714,973727.095555366
FromLS,819254,928918.5991425493,895920.2214912914
FromLS,792832,908274.6980056849,905691.9929124437
FromLS,967230,909458.9630275778,921318.5465682882
FromLS,471452,905916.8442792287,904199.3549230509
FromLS,193780,905525.0543797764,907852.6789010211
FromLS,941781,913519.8749958526,927368.5148094902
FromLS,669388,872180.640055856,916580.1286953518
FromLS,892109,875190.6393561441,945471.2618579671
FromLS,356715,888660.6092394473,942040.0668195018
FromLS,728948,890059.7408237917,929442.2630672543
FromLS,400910,915164.2629437359,908522.9284899225
FromLS,314519,892899.3769769697,940117.4210513708
FromLS,804720,878124.8146969889,929958.2361949971
FromLS,108778,893380.6469938966,919363.9403266942
FromLS,498061,902364.3137755084,941713.5278874182
FromLS,553733,921043.1529807698,907054.5765106287
FromLS,488934,908738.9091751277,924017.7324537494
FromLS,491581,896412.3838595962,924812.0056354993
FromLS,932783,886697.7489677746,913861.2056459843
